"Neighbourhood 
Number",Neighbourhood Name
168,Downtown Yonge East
73,Moss Park
78,Kensington-Chinatown
167,Church-Wellesley
170,Yonge-Bay Corridor
165,Harbourfront-CityPlace
166,St Lawrence-East Bayfront-The Islands
85,South Parkdale
163,Fort York-Liberty Village
162,West Queen West
6,Kingsview Village-The Westway
74,North St.James Town
164,Wellington Place
81,Trinity-Bellwoods
154,Oakdale-Beverley Heights
95,Annex
62,East End-Danforth
136,West Hill
79,University
113,Weston
171,Junction-Wallace Emerson
121,Oakridge
72,Regent Park
118,Tam O'Shanter-Sullivan
18,New Toronto
83,Dufferin Grove
169,Bay-Cloverhill
70,South Riverdale
158,Islington
107,Oakwood Village
160,Mimico-Queensway
84,Little Portugal
98,Rosedale-Moore Park
86,Roncesvalles
64,Woodbine Corridor
138,Eglinton East
65,Greenwood-Coxwell
108,Briar Hill-Belgravia
1,West Humber-Clairville
124,Kennedy Park
120,Clairlea-Birchmount
88,High Park North
36,Newtonbrook West
71,Cabbagetown-South St.James Town
68,North Riverdale
63,The Beaches
111,Rockcliffe-Smythe
67,Playter Estates-Danforth
106,Humewood-Cedarvale
142,Woburn North
27,York University Heights
66,Danforth
25,Glenfield-Jane Heights
155,Downsview
31,Yorkdale-Glen Park
24,Black Creek
122,Birchcliffe-Cliffside
101,Forest Hill South
23,Pelmo Park-Humberlea
141,Golfdale-Cedarbrae-Woburn
109,Caledonia-Fairbank
119,Wexford/Maryvale
87,High Park-Swansea
16,Stonegate-Queensway
90,Junction Area
92,Corso Italia-Davenport
115,Mount Dennis
91,Weston-Pelham Park
80,Palmerston-Little Italy
159,Etobicoke City Centre
174,South Eglinton-Davisville
53,Henry Farm
128,Agincourt South-Malvern West
11,"Eringate-Centennial-West
Deane"
125,Ionview
110,Keelesdale-Eglinton West
126,Dorset Park
100,Yonge-Eglinton
43,Victoria Village
4,Rexdale-Kipling
21,Humber Summit
94,Wychwood
89,Runnymede-Bloor West Village
61,Taylor-Massey
9,Edenbridge-Humber Valley
123,Cliffcrest
7,Willowridge-Martingrove-Richview
161,Humber Bay Shores
5,Elms-Old Rexdale
172,Dovercourt Village
30,Brookhaven-Amesbury
3,Thistletown-Beaumond Heights
156,Bendale-Glen Andrew
2,Mount Olive-Silverstone-Jamestown
